,show_id,title,country,year_added,release_year,latest_release_year,seasons,runtimeMinutes,genres,main_category,audience_rating,averageRating,numVotes
0,81142594,Tunnel 2019,Unspecified,2019,2019,2019,1,30,Crime,Crime TV Shows,4,8.8,5
1,80156992,Breakout,Unspecified,2017,2010,2010,1,45,Action,International TV Shows,3,6.8,5
2,80157244,The Dream Job,Singapore,2017,2016,2016,1,45,Family,International TV Shows,3,5.4,5
3,80135278,The Beat,Unspecified,2017,1993,2012,1,60,Music,International TV Shows,2,6.4,5
4,70308105,Grand Hotel,Spain,2017,2014,2013,3,0,Crime,International TV Shows,2,7.0,5
5,80233447,Wake Up,Unspecified,2018,2018,2017,2,20,Sci-Fi,International TV Shows,3,7.0,5
6,80099753,Versailles,France,2019,2011,2018,3,0,Comedy,International TV Shows,4,1.6,5
7,80126212,Happy And,Unspecified,2016,2011,2012,1,30,Drama,International TV Shows,3,4.6,5
8,80078197,Fearless,United States,2016,2017,2016,1,95,Action,Docuseries,3,6.4,5
9,70298341,Africa,United Kingdom,2016,1984,2013,1,0,Documentary,British TV Shows,2,5.2,5
10,80114988,Glow,United States,2019,2002,2019,3,0,Reality-TV,TV Comedies,4,4.6,5
11,81163776,My Dear Warrior,Thailand,2019,2019,2019,1,0,Fantasy,International TV Shows,3,5.2,5
12,81100120,Stone Age,Unspecified,2019,2017,2017,1,0,Animation,Kids' TV,3,4.8,5
13,80158803,Spark,South Korea,2017,2016,2016,1,0,Drama,International TV Shows,3,6.6,5
14,80157242,Mexico Diseña,United States,2017,2016,2016,1,25,Game-Show,International TV Shows,2,5.6,5
15,81026478,Minute To Win It,United States,2018,2013,2013,1,0,Game-Show,Reality TV,2,7.5,6
16,81167101,Save Me,Unspecified,2020,2020,2017,1,0,Thriller,International TV Shows,3,7.0,6
17,80011206,Zoo,United States,2017,1996,2017,3,0,Drama,TV Dramas,3,7.7,6
18,81215567,Cocomong,Unspecified,2019,2008,2015,2,0,Animation,Kids' TV,1,4.3,6
19,70304718,Lego Friends,Unspecified,2019,2014,2017,3,3,Animation,Kids' TV,1,7.0,6
20,80059465,Locked Up,Spain,2019,2001,2019,4,0,Comedy,Crime TV Shows,4,7.2,6
21,80157567,The Oath,Singapore,2017,2011,2011,1,45,Drama,International TV Shows,2,7.7,6
22,80195378,Haunted,United States,2019,2017,2019,2,0,Reality-TV,Reality TV,4,7.5,6
23,81037848,The Gift,Turkey,2019,2005,2019,1,60,Reality-TV,International TV Shows,4,5.8,6
24,80184208,Timeline,Unspecified,2018,2019,2014,1,0,Documentary,Crime TV Shows,3,6.7,6
25,81010818,Family Business,France,2019,2014,2019,1,22,Comedy,International TV Shows,4,8.0,6
26,80157207,Mind Game,Unspecified,2017,2015,2015,1,45,Crime,Crime TV Shows,3,7.4,7
27,80221210,Brotherhood,Brazil,2019,2002,2019,1,45,Comedy,Crime TV Shows,4,8.1,7
28,81088332,Super Bheem,Unspecified,2019,2017,2019,1,0,Animation,Kids' TV,3,5.7,7
29,80099656,Frontier,Canada,2018,1968,2018,3,55,Adventure,International TV Shows,4,5.7,7
30,81100135,Zombie Dumb,Unspecified,2019,2019,2018,2,0,Adventure,Kids' TV,3,5.0,7
31,80238391,The Club,Mexico,2019,2003,2019,1,60,Reality-TV,Crime TV Shows,4,4.4,7
32,80036407,When Calls The Heart,United States,2018,2019,2017,5,0,Family,TV Dramas,1,7.1,7
33,70197057,Scandal,United States,2018,2008,2018,7,0,Drama,Crime TV Shows,3,7.6,7
34,80224602,Money For Nothing,Unspecified,2019,2015,2015,1,44,Reality-TV,British TV Shows,2,5.7,7
35,70136114,The L Word,Canada,2018,2013,2009,6,0,Drama,Romantic TV Shows,4,3.7,7
36,81002391,Broken,United States,2019,2016,2019,1,0,Comedy,Docuseries,3,6.7,7
37,80179394,Dynasty,United States,2019,1969,2019,2,0,Drama,TV Dramas,3,7.9,7
38,80067618,Atelier,Japan,2015,2008,2015,1,0,Documentary,International TV Shows,2,6.3,7
39,80149594,Intersection,Turkey,2017,2012,2016,3,141,Drama,International TV Shows,3,6.4,7
40,70218316,Dreamworks Spooky Stories,United States,2018,2009,2009,1,67,Animation,Kids' TV,2,5.0,7
41,80170720,Dandy,Mexico,2018,2018,2016,1,0,Comedy,Crime TV Shows,4,9.4,7
42,80136785,Forget Me Not,United Kingdom,2017,2014,2011,1,0,Drama,International TV Shows,4,7.7,7
43,80156950,Against The Tide,Singapore,2017,2014,2014,1,45,Drama,Crime TV Shows,3,7.6,7
44,81157169,Agent,Mauritius,2019,2000,2019,1,0,Adventure,International TV Shows,4,5.9,7
45,81059816,The Big Catch,United Kingdom,2019,2015,2015,1,0,Action,British TV Shows,2,7.6,7
46,81026986,Justice,United Arab Emirates,2019,1954,2018,1,30,Drama,Crime TV Shows,3,7.3,7
47,81066723,The Calling,India,2019,2018,2018,1,30,Reality-TV,International TV Shows,4,8.0,7
48,80208052,Guru Aur Bhole,Unspecified,2019,2017,2018,3,0,Animation,Kids' TV,1,5.6,8
49,80210361,Chambers,United States,2019,2017,2019,1,0,Horror,TV Horror,4,6.5,8
50,81104372,What If?,Unspecified,2019,2010,2019,1,23,Drama,International TV Shows,3,7.6,8
51,81059663,My Tattoo Addiction,United Kingdom,2019,2012,2013,1,0,Documentary,British TV Shows,4,4.4,8
52,80158104,Taken,France,2019,2016,2018,2,0,Crime,Crime TV Shows,3,7.5,8
53,81020728,Way Back Into Love,Taiwan,2018,2011,2011,1,0,Drama,International TV Shows,2,7.0,8
